Prova_13,Prova_14,Prova_15,Prova_16,Prova_17,Prova_18,Prova_19,Prova_20,Prova_21
A,D,E,D,D,E,E,E,E
A,E,C,E,E,E,E,E,E
C,A,D,E,E,E,E,E,E
E,A,B,E,E,B,B,B,B
D,A,D,C,C,E,E,E,E
A,B,D,A,A,E,E,E,E
B,A,C,E,E,A,A,A,A
B,C,D,C,C,C,C,C,C
A,E,A,E,E,B,B,B,B
C,E,E,B,B,D,D,D,D
B,A,A,A,A,C,C,C,C
D,B,D,A,D,A,A,A,A
B,B,B,C,E,B,B,B,B
A,B,E,D,D,B,B,B,B
E,A,C,D,B,C,C,C,C
E,C,A,C,A,E,E,E,E
A,B,E,B,D,C,C,C,C
C,E,E,E,A,A,A,A,A
C,A,A,E,C,C,C,E,C
E,C,A,A,B,D,D,C,D
B,E,D,D,B,B,A,A,A
B,D,B,D,D,D,A,B,A
E,E,A,D,D,C,B,E,B
A,E,E,B,A,C,B,E,B
D,B,A,B,C,D,E,B,E
C,C,C,A,E,D,D,B,D
B,D,A,E,E,E,C,C,C
C,C,C,C,C,E,B,A,B
A,E,E,A,B,E,C,D,D
A,D,D,C,E,B,C,D,B
B,E,D,E,C,C,A,D,C
D,A,E,B,E,E,D,A,E
C,B,B,C,E,B,E,E,A
A,B,B,E,D,E,C,B,B
B,B,C,C,E,E,D,C,A
D,A,E,D,D,E,E,C,C
C,D,E,B,C,A,B,B,C
B,D,B,C,E,A,D,A,D
E,E,D,D,D,C,C,A,E
A,D,C,E,E,D,E,B,C
C,C,D,A,A,B,A,D,C
D,A,B,D,C,A,D,C,D
E,E,C,E,C,B,A,A,C
B,E,A,E,A,D,C,E,D
C,A,E,A,B,D,C,D,A
B,A,D,B,B,A,E,C,E
D,D,E,B,A,A,B,C,D
E,C,C,E,E,E,A,C,D
B,D,C,A,A,E,A,D,C
C,B,B,D,E,D,C,A,C
C,C,D,C,D,A,D,A,E
E,B,A,D,E,A,B,B,D
D,A,B,B,C,C,E,E,A
E,B,E,C,B,B,B,D,B
B,D,B,B,A,E,B,D,B
D,B,B,D,B,C,E,B,D
C,C,C,E,A,D,E,E,A
B,E,B,E,A,D,C,D,E
E,C,C,A,B,E,D,C,B
C,A,A,D,D,E,C,D,B
C,D,C,A,D,B,D,D,B
E,E,E,D,B,D,B,A,A
A,A,D,B,E,A,B,E,A
D,D,E,A,D,C,B,B,C
D,C,C,C,B,C,D,A,A
B,A,A,E,C,C,C,C,A
D,E,D,A,A,D,E,D,C
E,D,C,E,E,E,D,B,C
A,B,E,C,A,A,E,E,E
A,C,A,D,D,C,A,C,B
